Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Brekke I Sogn;SN52930;01.01.1939;0
Brekke I Sogn;SN52930;02.01.1939;0
Brekke I Sogn;SN52930;03.01.1939;0
Brekke I Sogn;SN52930;04.01.1939;0
Brekke I Sogn;SN52930;05.01.1939;0
Brekke I Sogn;SN52930;06.01.1939;0
Brekke I Sogn;SN52930;07.01.1939;4,5
Brekke I Sogn;SN52930;08.01.1939;17
Brekke I Sogn;SN52930;09.01.1939;24,2
Brekke I Sogn;SN52930;10.01.1939;28
Brekke I Sogn;SN52930;11.01.1939;64,7
Brekke I Sogn;SN52930;12.01.1939;0
Brekke I Sogn;SN52930;13.01.1939;6,2
Brekke I Sogn;SN52930;14.01.1939;2,1
Brekke I Sogn;SN52930;15.01.1939;6,1
Brekke I Sogn;SN52930;16.01.1939;18,5
Brekke I Sogn;SN52930;17.01.1939;18,1
Brekke I Sogn;SN52930;18.01.1939;3,5
Brekke I Sogn;SN52930;19.01.1939;0
Brekke I Sogn;SN52930;20.01.1939;0
Brekke I Sogn;SN52930;21.01.1939;0
Brekke I Sogn;SN52930;22.01.1939;1,5
Brekke I Sogn;SN52930;23.01.1939;2,7
Brekke I Sogn;SN52930;24.01.1939;0
Brekke I Sogn;SN52930;25.01.1939;0
Brekke I Sogn;SN52930;26.01.1939;0
Brekke I Sogn;SN52930;27.01.1939;0
Brekke I Sogn;SN52930;28.01.1939;0
Brekke I Sogn;SN52930;29.01.1939;0
Brekke I Sogn;SN52930;30.01.1939;0
Brekke I Sogn;SN52930;31.01.1939;0
Brekke I Sogn;SN52930;01.02.1939;0
Brekke I Sogn;SN52930;02.02.1939;0
Brekke I Sogn;SN52930;03.02.1939;0
Brekke I Sogn;SN52930;04.02.1939;9,2
Brekke I Sogn;SN52930;05.02.1939;43,3
Brekke I Sogn;SN52930;06.02.1939;30,1
Brekke I Sogn;SN52930;07.02.1939;57,3
Brekke I Sogn;SN52930;08.02.1939;41
Brekke I Sogn;SN52930;09.02.1939;33
Brekke I Sogn;SN52930;10.02.1939;36,5
Brekke I Sogn;SN52930;11.02.1939;39,5
Brekke I Sogn;SN52930;12.02.1939;65,2
Brekke I Sogn;SN52930;13.02.1939;62,4
Brekke I Sogn;SN52930;14.02.1939;0
Brekke I Sogn;SN52930;15.02.1939;11,2
Brekke I Sogn;SN52930;16.02.1939;46,3
Brekke I Sogn;SN52930;17.02.1939;11,4
Brekke I Sogn;SN52930;18.02.1939;20,7
Brekke I Sogn;SN52930;19.02.1939;0
Brekke I Sogn;SN52930;20.02.1939;17,1
Brekke I Sogn;SN52930;21.02.1939;2,2
Brekke I Sogn;SN52930;22.02.1939;0
Brekke I Sogn;SN52930;23.02.1939;0
Brekke I Sogn;SN52930;24.02.1939;0
Brekke I Sogn;SN52930;25.02.1939;10,1
Brekke I Sogn;SN52930;26.02.1939;14,3
Brekke I Sogn;SN52930;27.02.1939;16,2
Brekke I Sogn;SN52930;28.02.1939;28
Brekke I Sogn;SN52930;01.03.1939;22,3
Brekke I Sogn;SN52930;02.03.1939;0
Brekke I Sogn;SN52930;03.03.1939;42,1
Brekke I Sogn;SN52930;04.03.1939;14
Brekke I Sogn;SN52930;05.03.1939;0
Brekke I Sogn;SN52930;06.03.1939;4,5
Brekke I Sogn;SN52930;07.03.1939;41
Brekke I Sogn;SN52930;08.03.1939;34,2
Brekke I Sogn;SN52930;09.03.1939;0
Brekke I Sogn;SN52930;10.03.1939;0
Brekke I Sogn;SN52930;11.03.1939;0
Brekke I Sogn;SN52930;12.03.1939;8,2
Brekke I Sogn;SN52930;13.03.1939;21,1
Brekke I Sogn;SN52930;14.03.1939;8,4
Brekke I Sogn;SN52930;15.03.1939;6
Brekke I Sogn;SN52930;16.03.1939;0
Brekke I Sogn;SN52930;17.03.1939;2,5
Brekke I Sogn;SN52930;18.03.1939;1,5
Brekke I Sogn;SN52930;19.03.1939;4,8
Brekke I Sogn;SN52930;20.03.1939;1,4
Brekke I Sogn;SN52930;21.03.1939;3
Brekke I Sogn;SN52930;22.03.1939;0,5
Brekke I Sogn;SN52930;23.03.1939;0
Brekke I Sogn;SN52930;24.03.1939;0
Brekke I Sogn;SN52930;25.03.1939;0
Brekke I Sogn;SN52930;26.03.1939;0
Brekke I Sogn;SN52930;27.03.1939;0
Brekke I Sogn;SN52930;28.03.1939;0
Brekke I Sogn;SN52930;29.03.1939;0
Brekke I Sogn;SN52930;30.03.1939;0
Brekke I Sogn;SN52930;31.03.1939;0
Brekke I Sogn;SN52930;01.04.1939;0
Brekke I Sogn;SN52930;02.04.1939;0
Brekke I Sogn;SN52930;03.04.1939;0
Brekke I Sogn;SN52930;04.04.1939;0
Brekke I Sogn;SN52930;05.04.1939;0
Brekke I Sogn;SN52930;06.04.1939;0
Brekke I Sogn;SN52930;07.04.1939;4,1
Brekke I Sogn;SN52930;08.04.1939;8,2
Brekke I Sogn;SN52930;09.04.1939;25,4
Brekke I Sogn;SN52930;10.04.1939;0
Brekke I Sogn;SN52930;11.04.1939;0
Brekke I Sogn;SN52930;12.04.1939;0
Brekke I Sogn;SN52930;13.04.1939;9,7
Brekke I Sogn;SN52930;14.04.1939;30,5
Brekke I Sogn;SN52930;15.04.1939;10,6
Brekke I Sogn;SN52930;16.04.1939;52,1
Brekke I Sogn;SN52930;17.04.1939;24,2
Brekke I Sogn;SN52930;18.04.1939;0
Brekke I Sogn;SN52930;19.04.1939;25,7
Brekke I Sogn;SN52930;20.04.1939;105,7
Brekke I Sogn;SN52930;21.04.1939;10
Brekke I Sogn;SN52930;22.04.1939;4,5
Brekke I Sogn;SN52930;23.04.1939;0
Brekke I Sogn;SN52930;24.04.1939;0
Brekke I Sogn;SN52930;25.04.1939;0
Brekke I Sogn;SN52930;26.04.1939;0
Brekke I Sogn;SN52930;27.04.1939;4,5
Brekke I Sogn;SN52930;28.04.1939;0
Brekke I Sogn;SN52930;29.04.1939;0
Brekke I Sogn;SN52930;30.04.1939;0
Brekke I Sogn;SN52930;01.05.1939;0
Brekke I Sogn;SN52930;02.05.1939;0
Brekke I Sogn;SN52930;03.05.1939;0
Brekke I Sogn;SN52930;04.05.1939;0
Brekke I Sogn;SN52930;05.05.1939;0
Brekke I Sogn;SN52930;06.05.1939;0
Brekke I Sogn;SN52930;07.05.1939;0
Brekke I Sogn;SN52930;08.05.1939;0
Brekke I Sogn;SN52930;09.05.1939;0
Brekke I Sogn;SN52930;10.05.1939;1,6
Brekke I Sogn;SN52930;11.05.1939;24,3
Brekke I Sogn;SN52930;12.05.1939;0
Brekke I Sogn;SN52930;13.05.1939;0
Brekke I Sogn;SN52930;14.05.1939;0
Brekke I Sogn;SN52930;15.05.1939;0
Brekke I Sogn;SN52930;16.05.1939;0
Brekke I Sogn;SN52930;17.05.1939;0
Brekke I Sogn;SN52930;18.05.1939;0
Brekke I Sogn;SN52930;19.05.1939;0
Brekke I Sogn;SN52930;20.05.1939;0
Brekke I Sogn;SN52930;21.05.1939;0
Brekke I Sogn;SN52930;22.05.1939;1,1
Brekke I Sogn;SN52930;23.05.1939;1,9
Brekke I Sogn;SN52930;24.05.1939;0
Brekke I Sogn;SN52930;25.05.1939;0
Brekke I Sogn;SN52930;26.05.1939;0
Brekke I Sogn;SN52930;27.05.1939;0
Brekke I Sogn;SN52930;28.05.1939;0
Brekke I Sogn;SN52930;29.05.1939;0,1
Brekke I Sogn;SN52930;30.05.1939;2,8
Brekke I Sogn;SN52930;31.05.1939;0
Brekke I Sogn;SN52930;01.06.1939;0
Brekke I Sogn;SN52930;02.06.1939;0
Brekke I Sogn;SN52930;03.06.1939;0
Brekke I Sogn;SN52930;04.06.1939;13,7
Brekke I Sogn;SN52930;05.06.1939;2
Brekke I Sogn;SN52930;06.06.1939;0
Brekke I Sogn;SN52930;07.06.1939;13,6
Brekke I Sogn;SN52930;08.06.1939;21,2
Brekke I Sogn;SN52930;09.06.1939;6,6
Brekke I Sogn;SN52930;10.06.1939;84,2
Brekke I Sogn;SN52930;11.06.1939;22,6
Brekke I Sogn;SN52930;12.06.1939;0
Brekke I Sogn;SN52930;13.06.1939;12,2
Brekke I Sogn;SN52930;14.06.1939;2,4
Brekke I Sogn;SN52930;15.06.1939;5,5
Brekke I Sogn;SN52930;16.06.1939;22,7
Brekke I Sogn;SN52930;17.06.1939;20,2
Brekke I Sogn;SN52930;18.06.1939;1
Brekke I Sogn;SN52930;19.06.1939;2
Brekke I Sogn;SN52930;20.06.1939;0
Brekke I Sogn;SN52930;21.06.1939;0
Brekke I Sogn;SN52930;22.06.1939;0
Brekke I Sogn;SN52930;23.06.1939;0
Brekke I Sogn;SN52930;24.06.1939;7,9
Brekke I Sogn;SN52930;25.06.1939;0
Brekke I Sogn;SN52930;26.06.1939;1,9
Brekke I Sogn;SN52930;27.06.1939;0
Brekke I Sogn;SN52930;28.06.1939;0
Brekke I Sogn;SN52930;29.06.1939;13,9
Brekke I Sogn;SN52930;30.06.1939;34,5
Brekke I Sogn;SN52930;01.07.1939;10,2
Brekke I Sogn;SN52930;02.07.1939;12,9
Brekke I Sogn;SN52930;03.07.1939;1,7
Brekke I Sogn;SN52930;04.07.1939;16,3
Brekke I Sogn;SN52930;05.07.1939;3,7
Brekke I Sogn;SN52930;06.07.1939;0
Brekke I Sogn;SN52930;07.07.1939;12,2
Brekke I Sogn;SN52930;08.07.1939;2,6
Brekke I Sogn;SN52930;09.07.1939;5,3
Brekke I Sogn;SN52930;10.07.1939;5,9
Brekke I Sogn;SN52930;11.07.1939;1,3
Brekke I Sogn;SN52930;12.07.1939;0
Brekke I Sogn;SN52930;13.07.1939;0
Brekke I Sogn;SN52930;14.07.1939;0
Brekke I Sogn;SN52930;15.07.1939;2,3
Brekke I Sogn;SN52930;16.07.1939;0,1
Brekke I Sogn;SN52930;17.07.1939;4,2
Brekke I Sogn;SN52930;18.07.1939;5,1
Brekke I Sogn;SN52930;19.07.1939;23,3
Brekke I Sogn;SN52930;20.07.1939;5,8
Brekke I Sogn;SN52930;21.07.1939;0,8
Brekke I Sogn;SN52930;22.07.1939;0
Brekke I Sogn;SN52930;23.07.1939;6,8
Brekke I Sogn;SN52930;24.07.1939;4,4
Brekke I Sogn;SN52930;25.07.1939;26,2
Brekke I Sogn;SN52930;26.07.1939;2,1
Brekke I Sogn;SN52930;27.07.1939;0
Brekke I Sogn;SN52930;28.07.1939;0
Brekke I Sogn;SN52930;29.07.1939;13,4
